model_id,aliases,coverage_percent,Cu2Te_repeat_count,energy_valid,electronic_outputs_complete,KS_orbital_count_near_EF_in_window,KS_orbital_density_near_EF_per_ev_per_substrate_area,Cu2Te_projected_spectral_weight_near_EF_per_ev_per_formula_unit,CdTe_interface_projected_spectral_weight_near_EF_per_ev_per_atom,Cu2Te_interface_projected_spectral_weight_near_EF_per_ev_per_atom,cp2k_normalized_histogram_fraction_near_EF_per_ev,vacuum_level_top_ev,vacuum_level_bottom_ev,top_surface_work_function_proxy_ev,bottom_work_function_diagnostic_ev,top_vacuum_plateau_status,bottom_vacuum_plateau_status,cp2k_warning_count,last_MO_smearing_warning_count,last_MO_smearing_warning_persistent,warning_review_required,fatal_warning_detected,termination_reason,limitations
B0,C0,0.0,0,True,True,6,0.1314420294061955,,0.6445039994790195,,0.07649983799565693,,,,,unreliable_or_not_found,unreliable_or_not_found,39,0,False,True,False,strict_success,E-EF only for spectra; projected values are AO spectral-weight proxies. Work-function values require a reliable continuous vacuum plateau. No DFT contact resistance is calculated.
C50,,50.0,1,True,True,8,0.19734424030805525,1.035793054125215,1.5218202439214086,0.21771065840835505,0.07349984434876843,,,,,unreliable_or_not_found,unreliable_or_not_found,243,2,False,True,False,strict_success,E-EF only for spectra; projected values are AO spectral-weight proxies. Work-function values require a reliable continuous vacuum plateau. No DFT contact resistance is calculated.
H1,C100,100.0,1,False,False,,,,,,,,,,,not_analyzed,not_analyzed,143,70,True,True,False,runner_timeout,E-EF only for spectra; projected values are AO spectral-weight proxies. Work-function values require a reliable continuous vacuum plateau. No DFT contact resistance is calculated.
H2,,100.0,2,False,False,,,,,,,,,,,not_run,not_run,,,False,False,False,not_run,E-EF only for spectra; projected values are AO spectral-weight proxies. Work-function values require a reliable continuous vacuum plateau. No DFT contact resistance is calculated.
