model_id,canonical_calculation_id,coverage_percent,Cu2Te_formula_units_n,substrate_area_angstrom2,E_Ctheta_hartree_research_lite,E_B0_hartree_research_lite,E_bulk_Cu2Te_per_formula_unit_hartree_research_lite,E_bulk_reference_kpoint_mesh,slab_kpoint_mesh,fixed_geometry_relative_coverage_formation_energy_ev_per_angstrom2,fixed_geometry_relative_coverage_formation_energy_ev_per_Cu2Te_formula_unit,energy_valid,status,paper_eligibility_status,limitations
C0,B0,0.0,0,236.37089524795562,-2114.6564982875375,-2114.6564982875375,-104.39350448861026,2x2x2,implicit_gamma,0.0,,True,historical_prototype_diagnostic_computed,not_ready_for_paper,固定初始几何相对覆盖形成能，不是绝对表面能；界面未弛豫。旧值来自 CP2K 2024.3，Cu2Te 参考仅做 2x2x2 最小检查，没有完成体相 k 点收敛，薄片仍为 Gamma；极性 CdTe(111) 和原型晶相都未完成科研级收敛验证。
C50,C50,50.0,16,236.37089524795562,-3790.704643344517,-2114.6564982875375,-104.39350448861026,2x2x2,implicit_gamma,-0.6621876456630102,-9.782617914218859,True,historical_prototype_diagnostic_computed,not_ready_for_paper,固定初始几何相对覆盖形成能，不是绝对表面能；界面未弛豫。旧值来自 CP2K 2024.3，Cu2Te 参考仅做 2x2x2 最小检查，没有完成体相 k 点收敛，薄片仍为 Gamma；极性 CdTe(111) 和原型晶相都未完成科研级收敛验证。
C100,H1,100.0,32,236.37089524795562,,-2114.6564982875375,-104.39350448861026,2x2x2,implicit_gamma,,,False,blank_missing_one_or_more_valid_research_lite_energies,not_ready_for_paper,固定初始几何相对覆盖形成能，不是绝对表面能；界面未弛豫。旧值来自 CP2K 2024.3，Cu2Te 参考仅做 2x2x2 最小检查，没有完成体相 k 点收敛，薄片仍为 Gamma；极性 CdTe(111) 和原型晶相都未完成科研级收敛验证。
