canonical_model_id,aliases,atom_count,coverage_percent,Cu2Te_repeat_count,Cu2Te_thickness_angstrom,actually_run,return_code,timed_out,normal_program_end,SCF_converged,energy_valid,electronic_outputs_complete,SCF_steps,SCF_iterations_observed,last_SCF_iteration_index,total_energy_hartree,cp2k_warning_count,unique_warning_messages,warning_message_counts_json,kpoint_mesh,kpoint_status,wall_time_seconds,termination_reason,confirmed_stop_cause,warning_or_error,prototype_only
cu2te_bulk,,6,,,,True,0,False,True,True,True,True,18,18,18,-208.11415857615756,19,WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed,"{""WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed"": 19}",implicit_gamma,"Gamma-only bulk reference; a separate 2x2x2 minimum check completed and differs strongly, so neither mesh is a k-point-converged reference.",68.13035429999945,process_exit_0,CP2K/Docker process exited normally,,True
cu2te_bulk_k222,,6,,,,True,0,False,True,True,True,False,16,16,16,-208.78700897722052,0,,{},2x2x2,Minimum 2x2x2 bulk k-point energy check only; this single comparison does not establish k-point convergence.,51.13710970000011,strict_success,"normal CP2K end marker, explicit SCF convergence, valid energy",,True
B0,C0,78,0.0,0,0.0,True,0,False,True,True,True,True,38,38,38,-2114.6564982875375,39,WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed,"{""WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed"": 39}",implicit_gamma,Gamma-only slab starting point; the 2x2x1 energy check has not been run,1459.6106648999998,strict_success,"normal CP2K end marker, explicit SCF convergence, valid energy, and complete requested electronic outputs",,True
C50,,126,50.0,1,4.92796487,True,0,False,True,True,True,True,84,84,84,-3790.704643344517,243,WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed | WARNING in qs_mo_occupation.F:592 :: Fermi-Dirac smearing includes the last MO => Add more MOs for proper smearing.,"{""WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed"": 241, ""WARNING in qs_mo_occupation.F:592 :: Fermi-Dirac smearing includes the last MO => Add more MOs for proper smearing."": 2}",implicit_gamma,Gamma-only slab starting point; the 2x2x1 energy check has not been run,5137.1112399,strict_success,"normal CP2K end marker, explicit SCF convergence, valid energy, and complete requested electronic outputs",,True
H1,C100,174,100.0,1,4.927964875599997,True,137,True,False,False,False,False,,72,72,,143,WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed | WARNING in qs_mo_occupation.F:592 :: Fermi-Dirac smearing includes the last MO => Add more MOs for proper smearing.,"{""WARNING in fm/cp_fm_elpa.F:522 :: Setting real_kernel for ELPA failed"": 73, ""WARNING in qs_mo_occupation.F:592 :: Fermi-Dirac smearing includes the last MO => Add more MOs for proper smearing."": 70}",implicit_gamma,Gamma-only slab starting point; the 2x2x1 energy check has not been run,7210.8324794,runner_timeout,runner enforced the configured 7200-second hard limit,runner-enforced timeout after 7200 seconds,True
H2,,270,100.0,2,12.1749720456,False,,False,False,False,False,False,,,,,,,,,,,not_run,,,True
