z_angstrom,cp2k_v_hartree_raw_hartree,conventional_electrostatic_potential_hartree,conventional_electrostatic_potential_ev
15.9183955855,-3.702255360704e-01,3.702255360704e-01,1.007435006014e+01
16.0842122062,-3.664219803400e-01,3.664219803400e-01,9.970850036052e+00
16.2500288268,-3.772737596404e-01,3.772737596404e-01,1.026614199405e+01
16.4158454475,-3.759834539280e-01,3.759834539280e-01,1.023103098694e+01
16.5816620682,-3.280224428292e-01,3.280224428292e-01,8.925945389178e+00
16.7474786889,-2.342910740280e-01,2.342910740280e-01,6.375384909363e+00
16.9132953096,-1.288960985840e-01,1.288960985840e-01,3.507441524170e+00
17.0791119302,-3.970579063280e-02,3.970579063280e-02,1.080449605111e+00
17.2449285509,2.641482034800e-02,-2.641482034800e-02,-7.187838791078e-01
17.4107451716,7.242695108800e-02,-7.242695108800e-02,-1.970837740675e+00
17.5765617923,1.029128135600e-01,-1.029128135600e-01,-2.800400319443e+00
17.7423784130,1.210370390640e-01,-1.210370390640e-01,-3.293585620041e+00
17.9081950337,1.280165006520e-01,-1.280165006520e-01,-3.483506445101e+00
18.0740116543,1.233807040984e-01,-1.233807040984e-01,-3.357359994524e+00
18.2398282750,1.052537147900e-01,-1.052537147900e-01,-2.864099486976e+00
18.4056448957,7.076765012548e-02,-7.076765012548e-02,-1.925685861285e+00
18.5714615164,1.731788042000e-02,-1.731788042000e-02,-4.712435330705e-01
18.7372781371,-5.439648587600e-02,5.439648587600e-02,1.480203787596e+00
18.9030947578,-1.358032102868e-01,1.358032102868e-01,3.695393608559e+00
19.0689113784,-2.079250707892e-01,2.079250707892e-01,5.657929411469e+00
19.2347279991,-2.466914895200e-01,2.466914895200e-01,6.712817404927e+00
19.4005446198,-2.364713664080e-01,2.364713664080e-01,6.434713687445e+00
19.5663612405,-1.811993636760e-01,1.811993636760e-01,4.930685872515e+00
19.7321778612,-1.015897684240e-01,1.015897684240e-01,2.764398427226e+00
19.8979944818,-2.137882825000e-02,2.137882825000e-02,5.817475529974e-01
20.0638111025,4.407103557600e-02,-4.407103557600e-02,-1.199233971319e+00
20.2296277232,8.975402115600e-02,-8.975402115600e-02,-2.442331336806e+00
20.3954443439,1.169535558820e-01,-1.169535558820e-01,-3.182468381947e+00
20.5612609646,1.288126087433e-01,-1.288126087433e-01,-3.505169649868e+00
20.7270775853,1.278675759840e-01,-1.278675759840e-01,-3.479453998439e+00
20.8928942059,1.151520977280e-01,-1.151520977280e-01,-3.133448208312e+00
21.0587108266,9.005492801520e-02,-9.005492801520e-02,-2.450519429576e+00
21.2245274473,5.112733886000e-02,-5.112733886000e-02,-1.391245765449e+00
21.3903440680,-6.732139560000e-04,6.732139560000e-04,1.831908498291e-02
21.5561606887,-5.827637154840e-02,5.827637154840e-02,1.585780855218e+00
21.7219773093,-1.143635450236e-01,1.143635450236e-01,3.111990596098e+00
21.8877939300,-1.537255914720e-01,1.537255914720e-01,4.183086445438e+00
22.0536105507,-1.582570668560e-01,1.582570668560e-01,4.306394172376e+00
22.2194271714,-1.503811457800e-01,1.503811457800e-01,4.092079441934e+00
22.3852437921,-1.481052524432e-01,1.481052524432e-01,4.030149229291e+00
22.5510604128,-1.558856991760e-01,1.558856991760e-01,4.241865970504e+00
22.7168770334,-1.703026505184e-01,1.703026505184e-01,4.634171201972e+00
22.8826936541,-1.770555468872e-01,1.770555468872e-01,4.817926873342e+00
23.0485102748,-1.629579298932e-01,1.629579298932e-01,4.434311172170e+00
23.2143268955,-1.265256984400e-01,1.265256984400e-01,3.442939650294e+00
23.3801435162,-7.770132138800e-02,7.770132138800e-02,2.114360668113e+00
23.5459601368,-2.957644629560e-02,2.957644629560e-02,8.048161039333e-01
23.7117767575,9.049278240800e-03,-9.049278240800e-03,-2.462434054578e-01
23.8775933782,3.539460676360e-02,-3.539460676360e-02,-9.631363156692e-01
24.0434099989,5.049445277600e-02,-5.049445277600e-02,-1.374024057768e+00
24.2092266196,5.654397045200e-02,-5.654397045200e-02,-1.538639819851e+00
24.3750432403,5.535117659040e-02,-5.535117659040e-02,-1.506182245371e+00
24.5408598609,4.774275269640e-02,-4.774275269640e-02,-1.299146484068e+00
24.7066764816,3.340911970400e-02,-3.340911970400e-02,-9.091084604040e-01
24.8724931023,1.101432542400e-02,-1.101432542400e-02,-2.997150633515e-01
25.0383097230,-2.111857558000e-02,2.111857558000e-02,5.746657170725e-01
25.2041263437,-6.316521739360e-02,6.316521739360e-02,1.718813127809e+00
25.3699429644,-1.108836691744e-01,1.108836691744e-01,3.017298350277e+00
25.5357595850,-1.538143556815e-01,1.538143556815e-01,4.185501842627e+00
25.7015762057,-1.782552806644e-01,1.782552806644e-01,4.850573292546e+00
25.8673928264,-1.753430518680e-01,1.753430518680e-01,4.771327509930e+00
26.0332094471,-1.474920044760e-01,1.474920044760e-01,4.013461901991e+00
26.1990260678,-1.052573915200e-01,1.052573915200e-01,2.864199535896e+00
26.3648426884,-5.592235943200e-02,5.592235943200e-02,1.521724922291e+00
26.5306593091,1.369180412000e-03,-1.369180412000e-03,-3.725729703137e-02
26.6964759298,6.001921592000e-02,-6.001921592000e-02,-1.633206066580e+00
26.8622925505,1.099704155600e-01,-1.099704155600e-01,-2.992447453435e+00
27.0281091712,1.347395795600e-01,-1.347395795600e-01,-3.666450742029e+00
27.1939257919,1.198715181612e-01,-1.198715181612e-01,-3.261870180577e+00
27.3597424125,9.073714050000e-02,-9.073714050000e-02,-2.469083377002e+00
27.5255590332,6.516006917600e-02,-6.516006917600e-02,-1.773095810163e+00
27.6913756539,4.430621753600e-02,-4.430621753600e-02,-1.205633598471e+00
27.8571922746,2.710107468560e-02,-2.710107468560e-02,-7.374578109512e-01
28.0230088953,1.321386970284e-02,-1.321386970284e-02,-3.595677122881e-01
28.1888255159,3.310337757600e-03,-3.310337757600e-03,-9.007887932673e-02
28.3546421366,-8.469344381200e-04,8.469344381200e-04,2.304626012071e-02
