z_angstrom,conventional_electrostatic_potential_ev,electron_density_au
18.9030947578,3.695393608559e+00,2.167163336000e-02
19.0689113784,5.657929411469e+00,2.180389994400e-02
19.2347279991,6.712817404927e+00,2.194512464400e-02
19.4005446198,6.434713687445e+00,2.213950208000e-02
19.5663612405,4.930685872515e+00,2.234767168000e-02
19.7321778612,2.764398427226e+00,2.231616124000e-02
19.8979944818,5.817475529974e-01,2.133663048000e-02
20.0638111025,-1.199233971319e+00,1.893521360000e-02
20.2296277232,-2.442331336806e+00,1.561994248000e-02
20.3954443439,-3.182468381947e+00,1.246335008000e-02
20.5612609646,-3.505169649868e+00,1.028302946400e-02
20.7270775853,-3.479453998439e+00,9.453345904000e-03
20.8928942059,-3.133448208312e+00,1.024327298400e-02
21.0587108266,-2.450519429576e+00,1.331737230800e-02
21.2245274473,-1.391245765449e+00,2.049104849200e-02
21.3903440680,1.831908498291e-02,3.716579764400e-02
21.5561606887,1.585780855218e+00,7.658656814000e-02
21.7219773093,3.111990596098e+00,1.196677957708e-01
21.8877939300,4.183086445438e+00,1.242668794324e-01
22.0536105507,4.306394172376e+00,1.240234020640e-01
22.2194271714,4.092079441934e+00,8.542109744480e-02
22.3852437921,4.030149229291e+00,4.862894148440e-02
22.5510604128,4.241865970504e+00,3.289221133800e-02
22.7168770334,4.634171201972e+00,2.538380798172e-02
22.8826936541,4.817926873342e+00,2.112723984220e-02
23.0485102748,4.434311172170e+00,1.844602836404e-02
23.2143268955,3.442939650294e+00,1.666840148232e-02
23.3801435162,2.114360668113e+00,1.540956753768e-02
23.5459601368,8.048161039333e-01,1.412048629816e-02
23.7117767575,-2.462434054578e-01,1.234816437216e-02
23.8775933782,-9.631363156692e-01,1.022374245420e-02
24.0434099989,-1.374024057768e+00,8.305954352380e-03
24.2092266196,-1.538639819851e+00,7.079865858676e-03
24.3750432403,-1.506182245371e+00,6.770935439292e-03
24.5408598609,-1.299146484068e+00,7.444221942580e-03
24.7066764816,-9.091084604040e-01,9.065774809116e-03
24.8724931023,-2.997150633515e-01,1.140412523596e-02
25.0383097230,5.746657170725e-01,1.393299824240e-02
25.2041263437,1.718813127809e+00,1.606063801114e-02
25.3699429644,3.017298350277e+00,1.763533548000e-02
25.5357595850,4.185501842627e+00,1.904300426675e-02
25.7015762057,4.850573292546e+00,2.073999377684e-02
25.8673928264,4.771327509930e+00,2.312810956244e-02
26.0332094471,4.013461901991e+00,2.704953376099e-02
26.1990260678,2.864199535896e+00,3.463466498375e-02
26.3648426884,1.521724922291e+00,5.257787416991e-02
26.5306593091,-3.725729703137e-02,9.292127531779e-02
26.6964759298,-1.633206066580e+00,1.171162832919e-01
26.8622925505,-2.992447453435e+00,1.139316321548e-01
27.0281091712,-3.666450742029e+00,1.045406670080e-01
27.1939257919,-3.261870180577e+00,5.903834065970e-02
27.3597424125,-2.469083377002e+00,3.028770337732e-02
27.5255590332,-1.773095810163e+00,1.846380621670e-02
27.6913756539,-1.205633598471e+00,1.259597980804e-02
27.8571922746,-7.374578109512e-01,9.050916750692e-03
28.0230088953,-3.595677122881e-01,6.634817368884e-03
28.1888255159,-9.007887932673e-02,4.880197575508e-03
28.3546421366,2.304626012071e-02,3.582132779240e-03
28.5204587573,-9.738839191355e-02,2.618737956120e-03
28.6862753780,-5.565865390592e-01,1.902829138020e-03
28.8520919987,-1.478505887545e+00,1.371876278139e-03
29.0179086194,-2.968124600466e+00,9.803970141656e-04
29.1837252400,-5.023030550541e+00,6.940176611792e-04
29.3495418607,-7.412966875903e+00,4.862207429068e-04
29.5153584814,-9.638592796540e+00,3.365939706156e-04
29.6811751021,-1.112086144192e+01,2.297508216404e-04
29.8469917228,-1.159117640222e+01,1.542999138200e-04
30.0128083434,-1.134874918254e+01,1.017348375012e-04
30.1786249641,-1.106494128127e+01,6.570872063812e-05
30.3444415848,-1.120967472627e+01,4.153103866412e-05
30.5102582055,-1.144624398756e+01,2.565339497924e-05
30.6760748262,-1.076380734614e+01,1.545815287683e-05
30.8418914469,-8.677337298244e+00,9.098226771108e-06
31.0077080675,-5.825798118852e+00,5.225963076332e-06
31.1735246882,-3.162137550308e+00,2.917028861251e-06
31.3393413089,-1.101247718436e+00,1.594521917300e-06
31.5051579296,3.585189050569e-01,8.530358619851e-07
31.6709745503,1.337436020318e+00,4.359284836588e-07
31.8367911710,1.941369924022e+00,2.225587338412e-07
32.0026077916,2.224206792422e+00,1.142879933325e-07
32.1684244123,2.189429073424e+00,4.875369457148e-08
32.3342410330,1.797807047548e+00,2.477882965467e-08
32.5000576537,9.748735889266e-01,1.534818057108e-08
32.6658742744,-3.691971137630e-01,1.205455461555e-09
32.8316908950,-2.282656382043e+00,2.326335949600e-09
32.9975075157,-4.664369241443e+00,4.382376653272e-09
33.1633241364,-7.157685541592e+00,-3.009876126505e-09
33.3291407571,-9.192236482222e+00,2.314334506372e-10
33.4949573778,-1.028065111498e+01,3.154653652469e-09
33.6607739985,-1.040097572883e+01,-2.988190528736e-09
33.8265906191,-1.007435473858e+01,-4.231640116521e-11
33.9924072398,-9.970846434897e+00,2.925454323653e-09
34.1582238605,-1.026614450728e+01,-2.789754139670e-09
34.3240404812,-1.023103311138e+01,-4.921744661938e-11
34.4898571019,-8.925945529883e+00,2.694395438086e-09
34.6556737225,-6.375379738438e+00,-2.601292625684e-09
34.8214903432,-3.507440800783e+00,1.385771469037e-11
34.9873069639,-1.080447824594e+00,2.425580764440e-09
35.1531235846,7.187836628317e-01,-2.356944682540e-09
35.3189402053,1.970839419944e+00,-2.791093607032e-12
35.4847568260,2.800401365448e+00,2.214255558580e-09
35.6505734466,3.293589455105e+00,-2.141246087108e-09
